26
19,19,20,21,21,21,21,21,21,21,21,21,19,19,21,21,9,8,10,1,1,5,7,6,4,14
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
87
19,19,20,20,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,25,26,27,27,27,27,27,27,27,27,28,29,30,31,32,32,32,33,34,9,38,39,39,40,40,40,40,1,1,1,1,3,3,3,3,2,0,0,0,0,0,3,41,42,42,42,5,5,5,5,7
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138
19,19,20,20,21,21,21,22,23,23,23,23,23,24,25,26,27,28,29,30,30,30,31,33,33,33,32,32,32,32,34,34,34,34,34,34,35,35,35,36,36,36,35,36,35,35,35,35,35,35,35,35,37,38,38,38,38,38,38,38,39,40,40,40,40,40,1,3,2,0,0,3,9,41,42,42,43,44,45,45,46,46,46,46,46,46,47,47,47,48,48,11,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,4,12,13,13,13,13,4,4,4,4,4,4,14,15,15,15,16,16,16,17,18,18,18
0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1
272
19,27,30,31,31,32,33,34,35,36,37,37,37,1,1,1,1,38,39,39,40,1,1,38,38,38,38,9,9,9,9,41,42,42,42,42,42,42,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,43,44,45,45,45,45,46,46,48,48,48,48,48,48,48,11,12,12,13,13,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
